	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
time	25_35	35_45	45_50	50_55	55_60	60_65	65_70	70_76
M269T616_POS_RPLC	23.469862272819	23.1239066476652	23.47138978856	23.7577720923284	23.5677486462684	23.3496489294308	23.4271333702806	23.1393145290654
M271T361_POS_RPLC	26.2854129519187	26.2989962497056	26.3175687341347	26.3231722503373	26.1324770164008	26.1926485560056	26.2960856104786	26.2649386156313
M271T562_POS_RPLC	20.7785501200985	20.8212014942405	20.8171280066192	20.7471506184518	20.736961419258	20.6638862266529	20.6619265436283	20.760906842654
M271T525_POS_RPLC	22.4742382133731	22.3718122572085	22.4506640773525	22.2009499969306	21.6477764316375	21.484236996661	21.1090387429876	19.5366750296331
M277T404_POS_RPLC	20.2795891065276	21.6279559635297	21.789766493098	21.2284503237113	21.6714519509962	21.3858832030712	21.418753143701	22.6067877225991
M277T431_POS_RPLC	23.2763307068065	23.1998364080002	23.1018604864084	23.2027108615059	23.1740448219105	23.1160344759425	23.2211695632311	23.2299066565874
M279T305_POS_RPLC	23.6274484094225	26.1709186037439	24.7914504555729	24.2494887216526	25.3544381144607	24.7284079051138	24.9891063747468	26.8730797755691
M279T548_POS_RPLC	26.3957009484129	26.0836364298258	26.1662138741447	26.282094294757	26.2301945010588	26.2864437635679	26.1611440461391	25.9306033283274
M281T528_POS_RPLC	22.765888693894	22.6874371598033	22.6659755134327	22.8247063909123	22.8190303310641	22.6673147790416	22.8615884192602	22.616598263756
M282T635_2_POS_RPLC	23.5668213765155	22.9039787130279	23.5549171510231	24.0479025317992	23.8618815593509	24.1311398656938	23.6124980710606	22.5447592773916
M283T651_POS_RPLC	22.53046570726	22.53637910004	22.5679751519106	22.6816729589174	22.8038846487202	22.8536809477038	22.510375165933	22.0276172516245
M284T660_POS_RPLC	23.1000982420266	22.7622610984755	23.1802261181496	23.0241559947843	22.9661003214472	23.0400990082048	22.8652957514934	22.6213049117819
M285T322_POS_RPLC	20.2625841120496	20.5083488685321	20.4845472318815	21.0419992649661	20.4929009935943	20.5907788166992	20.65601232644	20.1432386095671
M285T596_POS_RPLC	23.1560006834334	22.91028720935	22.9791220771129	23.1541666397712	23.0840654394953	23.1906201357134	23.0057154779218	23.2117916315431
M286T509_POS_RPLC	27.5173001979489	26.5619283823462	26.7047791393639	26.735546938941	26.9571481445286	26.803297281316	27.2196278671619	27.256096858181
