"","variable_id","ENTREZID"
"410","transcriptome_ARMC8","25852"
"411","transcriptome_ARMCX3","51566"
"412","transcriptome_ARNT","405"
"413","transcriptome_ARNTL","406"
"414","transcriptome_ARNTL2","56938"
"415","transcriptome_ARPC3","10094"
"416","transcriptome_ARPC4","10093"
"417","transcriptome_ARPP19","10776"
"418","transcriptome_ARR3","407"
"419","transcriptome_ARRB1","408"
"420","transcriptome_ARRB2","409"
"421","transcriptome_ARRDC1","92714"
"422","transcriptome_ARRDC2","27106"
"423","transcriptome_ARRDC3","57561"
"424","transcriptome_ARSB","411"
"425","transcriptome_ARSG","22901"
"426","transcriptome_ART3","419"
"427","transcriptome_ARVCF","421"
"428","transcriptome_ASAH1","427"
"429","transcriptome_ASAP1","50807"
"430","transcriptome_ASAP2","8853"
"431","transcriptome_ASB16","92591"
"432","transcriptome_ASB2","51676"
"433","transcriptome_ASB6","140459"
"434","transcriptome_ASB8","140461"
"435","transcriptome_ASCC1","51008"
"436","transcriptome_ASCC2","84164"
"437","transcriptome_ASCC3","10973"
"438","transcriptome_ASF1A","25842"
"439","transcriptome_ASF1B","55723"
"440","transcriptome_ASH2L","9070"
"441","transcriptome_ASIC3","9311"
"442","transcriptome_ASPDH","554235"
"443","transcriptome_ASPH","444"
"444","transcriptome_ASPHD1","253982"
"445","transcriptome_ASPHD2","57168"
"446","transcriptome_ASPN","54829"
"447","transcriptome_ASRGL1","80150"
"448","transcriptome_ASTE1","28990"
"449","transcriptome_ASXL1","171023"
"450","transcriptome_ASXL2","55252"
"451","transcriptome_ASXL3","80816"
"452","transcriptome_ATAD2","29028"
"453","transcriptome_ATAD2B","54454"
"454","transcriptome_ATAD5","79915"
"455","transcriptome_ATAT1","79969"
"456","transcriptome_ATE1","11101"
"457","transcriptome_ATF5","22809"
"458","transcriptome_ATF7","11016"
"459","transcriptome_ATF7IP","55729"
"460","transcriptome_ATG13","9776"
"461","transcriptome_ATG14","22863"
"462","transcriptome_ATG16L2","89849"
"463","transcriptome_ATG2A","23130"
"464","transcriptome_ATG2B","55102"
"465","transcriptome_ATG3","64422"
"466","transcriptome_ATG4D","84971"
"467","transcriptome_ATG7","10533"
"468","transcriptome_ATG9A","79065"
"469","transcriptome_ATG9B","285973"
"470","transcriptome_ATL1","51062"
"471","transcriptome_ATMIN","23300"
"472","transcriptome_ATP10A","57194"
"473","transcriptome_ATP10B","23120"
"474","transcriptome_ATP11A","23250"
"475","transcriptome_ATP11B","23200"
"476","transcriptome_ATP13A1","57130"
"477","transcriptome_ATP13A2","23400"
"478","transcriptome_ATP13A3","79572"
"479","transcriptome_ATP13A5","344905"
"480","transcriptome_ATP1B1","481"
"481","transcriptome_ATP1B3","483"
"482","transcriptome_ATP2A1","487"
"483","transcriptome_ATP2A2","488"
"484","transcriptome_ATP2A3","489"
"485","transcriptome_ATP2B3","492"
"486","transcriptome_ATP2B4","493"
"487","transcriptome_ATP2C1","27032"
"488","transcriptome_ATP2C2","9914"
"489","transcriptome_ATP4A","495"
"490","transcriptome_ATP6AP2","10159"
"491","transcriptome_ATP6V0D1","9114"
"492","transcriptome_ATP6V0E2","155066"
"493","transcriptome_ATP6V1B1","525"
"494","transcriptome_ATP6V1B2","526"
"495","transcriptome_ATP6V1D","51382"
"496","transcriptome_ATP6V1G1","9550"
"497","transcriptome_ATP8A1","10396"
"498","transcriptome_ATP8B1","5205"
"499","transcriptome_ATP8B2","57198"
"500","transcriptome_ATP9A","10079"
"501","transcriptome_ATP9B","374868"
"502","transcriptome_ATR","545"
"503","transcriptome_ATRAID","51374"
"504","transcriptome_ATRIP","84126"
"505","transcriptome_ATRX","546"
"506","transcriptome_ATXN2","6311"
"507","transcriptome_ATXN2L","11273"
"508","transcriptome_ATXN3","4287"
"509","transcriptome_ATXN7","6314"
"510","transcriptome_ATXN7L1","222255"
"511","transcriptome_ATXN7L2","127002"
"512","transcriptome_ATXN7L3","56970"
"513","transcriptome_ATXN7L3B","552889"
"514","transcriptome_AUNIP","79000"
"515","transcriptome_AUP1","550"
"516","transcriptome_AURKA","6790"
"517","transcriptome_AUTS2","26053"
"518","transcriptome_AVIL","10677"
"519","transcriptome_AVL9","23080"
"520","transcriptome_AVPI1","60370"
"521","transcriptome_AVPR1A","552"
"522","transcriptome_AVPR2","554"
"523","transcriptome_AWAT1","158833"
"524","transcriptome_AXIN1","8312"
"525","transcriptome_AZI2","64343"
"526","transcriptome_AZIN1","51582"
"527","transcriptome_B2M","567"
"528","transcriptome_B3GALT2","8707"
"529","transcriptome_B3GALT4","8705"
"530","transcriptome_B3GAT1","27087"
"531","transcriptome_B3GAT2","135152"
"532","transcriptome_B3GNT4","79369"
"533","transcriptome_B3GNT5","84002"
"534","transcriptome_B3GNT8","374907"
"535","transcriptome_B3GNT9","84752"
"536","transcriptome_B3GNTL1","146712"
"537","transcriptome_B4GALNT3","283358"
"538","transcriptome_B4GALT3","8703"
"539","transcriptome_B4GALT5","9334"
"540","transcriptome_B4GALT7","11285"
"541","transcriptome_B9D1","27077"
"542","transcriptome_B9D2","80776"
"543","transcriptome_BABAM1","29086"
"544","transcriptome_BACE1","23621"
"545","transcriptome_BACH1","571"
"546","transcriptome_BACH2","60468"
"547","transcriptome_BAD","572"
"548","transcriptome_BAG1","573"
"549","transcriptome_BAG2","9532"
"550","transcriptome_BAG4","9530"
"551","transcriptome_BAG6","7917"
"552","transcriptome_BAHCC1","57597"
"553","transcriptome_BAIAP2L1","55971"
"554","transcriptome_BAIAP2L2","80115"
"555","transcriptome_BAIAP3","8938"
"556","transcriptome_BANF1","8815"
"557","transcriptome_BANP","54971"
"558","transcriptome_BAP1","8314"
"559","transcriptome_BARHL1","56751"
"560","transcriptome_BASP1","10409"
"561","transcriptome_BAX","581"
"562","transcriptome_BAZ1A","11177"
"563","transcriptome_BAZ1B","9031"
"564","transcriptome_BAZ2B","29994"
"565","transcriptome_BBC3","27113"
"566","transcriptome_BBIP1","92482"
"567","transcriptome_BBS1","582"
"568","transcriptome_BBS2","583"
"569","transcriptome_BBS4","585"
"570","transcriptome_BBX","56987"
"571","transcriptome_BCAM","4059"
"572","transcriptome_BCAN","63827"
"573","transcriptome_BCAP29","55973"
"574","transcriptome_BCAP31","10134"
"575","transcriptome_BCAR3","8412"
"576","transcriptome_BCAS4","55653"
"577","transcriptome_BCCIP","56647"
"578","transcriptome_BCDIN3D","144233"
"579","transcriptome_BCKDHA","593"
"580","transcriptome_BCL10","8915"
"581","transcriptome_BCL11A","53335"
"582","transcriptome_BCL11B","64919"
"583","transcriptome_BCL2","596"
"584","transcriptome_BCL2L11","10018"
"585","transcriptome_BCL2L12","83596"
"586","transcriptome_BCL2L13","23786"
"587","transcriptome_BCL7B","9275"
"588","transcriptome_BCL7C","9274"
"589","transcriptome_BCL9","607"
"590","transcriptome_BCL9L","283149"
"591","transcriptome_BCLAF1","9774"
"592","transcriptome_BCOR","54880"
"593","transcriptome_BCORL1","63035"
"594","transcriptome_BCS1L","617"
"595","transcriptome_BDNF","627"
"596","transcriptome_BEAN1","146227"
"597","transcriptome_BECN1","8678"
"598","transcriptome_BEGAIN","57596"
"599","transcriptome_BEND4","389206"
"600","transcriptome_BEND7","222389"
"601","transcriptome_BEST1","7439"
"602","transcriptome_BEST4","266675"
"603","transcriptome_BEX4","56271"
"604","transcriptome_BFSP2","8419"
"605","transcriptome_BHLHA15","168620"
"606","transcriptome_BHLHE40","8553"
